143 , 192
202 , 196
194 , 195
147 , 191
159 , 196
162 , 191
164 , 193
187 , 195
143 , 198
195 , 197
164 , 192
143 , 196
161 , 195
159 , 191
178 , 200
151 , 193
167 , 195
145 , 195
191 , 194
151 , 197
160 , 200
199 , 199
159 , 200
199 , 192
180 , 198
185 , 195
187 , 191
143 , 197
159 , 197
202 , 195
143 , 196
176 , 200
164 , 199
185 , 191
168 , 195
194 , 195
162 , 200
192 , 191
177 , 191
177 , 191
200 , 195
159 , 194
176 , 191
143 , 194
175 , 192
194 , 196
167 , 193
203 , 191
151 , 199
204 , 194
183 , 199
191 , 197
159 , 191
159 , 193
200 , 195
164 , 193
171 , 191
161 , 200
204 , 194
180 , 200
143 , 197
180 , 196
164 , 196
202 , 191
176 , 200
151 , 199
199 , 193
167 , 194
191 , 196
194 , 191
180 , 198
160 , 195
175 , 196
167 , 192
180 , 192
183 , 192
176 , 191
151 , 191
203 , 191
199 , 194
191 , 194
156 , 200
164 , 197
175 , 193
186 , 195
148 , 192
191 , 200
175 , 198
203 , 191
167 , 195
199 , 198
169 , 195
167 , 198
191 , 193
199 , 198
196 , 194
151 , 194
175 , 197
159 , 199
191 , 193
199 , 191
201 , 191
183 , 197
163 , 200
159 , 193
143 , 195
203 , 198
143 , 191
178 , 196
196 , 192
185 , 195
159 , 197
199 , 198
199 , 191
179 , 191
171 , 195
144 , 191
159 , 194
195 , 195
167 , 194
168 , 191
179 , 199
172 , 193
164 , 198
148 , 193
177 , 191
167 , 193
199 , 197
191 , 200
151 , 195
161 , 191
199 , 197
159 , 193
179 , 199
151 , 199
167 , 199
175 , 193
145 , 195
178 , 191
192 , 195
167 , 193
167 , 197
143 , 195
180 , 200
154 , 200
183 , 195
196 , 200
199 , 194
163 , 191
146 , 191
179 , 199
161 , 195
196 , 199
156 , 200
172 , 193
167 , 195
191 , 197
183 , 193
160 , 195
160 , 191
151 , 200
178 , 196
175 , 199
204 , 199
167 , 197
185 , 195
191 , 191
186 , 191
204 , 192
151 , 196
160 , 200
196 , 193
204 , 193
159 , 200
143 , 199
144 , 195
160 , 200
202 , 195
188 , 191
160 , 195
202 , 195
178 , 200
183 , 200
144 , 191
183 , 196
160 , 191
162 , 195
163 , 200
203 , 195
184 , 195
184 , 195
192 , 191
159 , 195
164 , 198
195 , 191
203 , 197
159 , 200
162 , 200
162 , 195
170 , 195
196 , 199
171 , 195
202 , 196
199 , 200
167 , 200
171 , 191
203 , 195
163 , 200
183 , 191
199 , 196
195 , 198
193 , 195
193 , 191
151 , 194
199 , 195
186 , 195
191 , 195
167 , 191
143 , 199
183 , 199
151 , 192
167 , 197
202 , 196
183 , 191
151 , 195
167 , 192
143 , 193
183 , 200
204 , 200
148 , 192
159 , 198
146 , 191
145 , 191
203 , 197
148 , 193
161 , 200
162 , 191
168 , 191
192 , 195
175 , 197
148 , 193
203 , 197
191 , 196
152 , 200
143 , 197
187 , 195
168 , 195
159 , 197
170 , 191
180 , 199
183 , 191
175 , 196
167 , 196
194 , 191
175 , 199
151 , 193
170 , 195
172 , 192
199 , 195
180 , 197
168 , 195
176 , 200
162 , 195
175 , 197
187 , 191
199 , 196
191 , 197
175 , 199
183 , 198
155 , 200
164 , 194
200 , 195
159 , 192
178 , 196
164 , 192
156 , 200
168 , 191
143 , 193
192 , 191
170 , 191
164 , 193
151 , 198
179 , 191
199 , 192
163 , 195
151 , 195
191 , 191
186 , 191
153 , 200
175 , 195
199 , 199
159 , 194
144 , 195
201 , 191
143 , 192
192 , 195
167 , 200
201 , 195
194 , 195
155 , 200
176 , 191
172 , 194
200 , 191
148 , 192
161 , 191
179 , 196
195 , 195
175 , 195
202 , 191
186 , 191
191 , 191
183 , 200
167 , 191
183 , 194
144 , 191
143 , 193
146 , 195
199 , 200
153 , 200
143 , 192
151 , 194
196 , 193
148 , 194
183 , 192
191 , 198
196 , 194
163 , 195
159 , 198
164 , 192
196 , 200
199 , 193
153 , 200
177 , 200
169 , 195
191 , 199
148 , 194
167 , 196
144 , 195
143 , 195
145 , 191
191 , 192
183 , 199
172 , 192
179 , 191
143 , 199
175 , 194
201 , 195
177 , 200
175 , 195
201 , 191
199 , 193
169 , 195
172 , 194
183 , 197
194 , 196
164 , 194
184 , 191
159 , 191
191 , 200
175 , 198
162 , 191
180 , 192
199 , 194
143 , 200
188 , 191
147 , 195
196 , 200
191 , 193
195 , 195
147 , 195
196 , 192
159 , 195
151 , 196
159 , 192
187 , 195
169 , 191
167 , 200
164 , 196
180 , 198
188 , 191
